,Author,Book
"I have something i need to tell you,"" he says. i run my fingers along the tendons in his hands and look back at him. ""i might be in love with you."" he smiles a little. ""i'm waiting until i'm sure to tell you, though."" ""that's sensible of you,"" i say, smiling too. ""we should find some paper so you can make a list or a chart or something."" i feel his laughter against my side, his nose sliding along my jaw, his lips pressing my ear. ""maybe i'm already sure,"" he says, ""and i just don't want to frighten you."" i laugh a little. ""then you should know better."" ""fine,"" he says. ""then i love you. ― veronica roth, divergent"," veronica roth, divergent", divergent
Music was my refuge. i could crawl into the space between the notes and curl my back to loneliness. ― maya angelou, maya angelou,no book found
"Angry, and half in love with her, and tremendously sorry, i turned away. ― f. scott fitzgerald, the great gatsby"," f. scott fitzgerald, the great gatsby", the great gatsby
"Beauty is terror. whatever we call beautiful, we quiver before it. ― donna tartt, the secret history"," donna tartt, the secret history", the secret history
"Let no man pull you so low as to hate him. ― martin luther king jr., a knock at midnight: inspiration from the great sermons of reverend martin luther king, jr."," martin luther king jr., a knock at midnight: inspiration from the great sermons of reverend martin luther king, jr.", a knock at midnight: inspiration from the great sermons of reverend martin luther king
War is what happens when language fails. ― margaret atwood, margaret atwood,no book found
"Never say goodbye because goodbye means going away and going away means forgetting. ― j.m. barrie, peter pan"," j.m. barrie, peter pan", peter pan
"Without deviation from the norm, progress is not possible. ― frank zappa", frank zappa,no book found
"Friendship is the hardest thing in the world to explain. it's not something you learn in school. but if you haven't learned the meaning of friendship, you really haven't learned anything. ― muhammad ali", muhammad ali,no book found
"Everything is possible. the impossible just takes longer. ― dan brown, digital fortress"," dan brown, digital fortress", digital fortress
"The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward. ― steve maraboli, unapologetically you: reflections on life and the human experience"," steve maraboli, unapologetically you: reflections on life and the human experience", unapologetically you: reflections on life and the human experience
None but ourselves can free our minds. ― bob marley, bob marley,no book found
"The marks humans leave are too often scars. ― john green, the fault in our stars"," john green, the fault in our stars", the fault in our stars
"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment. ― jane austen, pride and prejudice"," jane austen, pride and prejudice", pride and prejudice
"Remember, we're madly in love, so it's all right to kiss me anytime you feel like it. ― suzanne collins, the hunger games"," suzanne collins, the hunger games", the hunger games
Some day you will be old enough to start reading fairy tales again. ― c.s. lewis, c.s. lewis,no book found
"We are what we pretend to be, so we must be careful about what we pretend to be. ― kurt vonnegut, mother night"," kurt vonnegut, mother night", mother night
"Our deepest fear is not that we are inadequate. our deepest fear is that we are powerful beyond measure. it is our light, not our darkness that most frightens us. we ask ourselves, 'who am i to be brilliant, gorgeous, talented, fabulous?' actually, who are you not to be? you are a child of god. your playing small does not serve the world. there is nothing enlightened about shrinking so that other people won't feel insecure around you. we are all meant to shine, as children do. we were born to make manifest the glory of god that is within us. it's not just in some of us; it's in everyone. and as we let our own light shine, we unconsciously give other people permission to do the same. as we are liberated from our own fear, our presence automatically liberates others. ― marianne williamson, a return to love: reflections on the principles of ""a course in miracles"""," marianne williamson, a return to love: reflections on the principles of ""a course in miracles"""," a return to love: reflections on the principles of ""a course in miracles"""
"To die will be an awfully big adventure. ― j.m. barrie, peter pan"," j.m. barrie, peter pan", peter pan
"Books are a uniquely portable magic. ― stephen king, on writing: a memoir of the craft"," stephen king, on writing: a memoir of the craft", on writing: a memoir of the craft
"And in that moment, i swear we were infinite. ― stephen chbosky, the perks of being a wallflower"," stephen chbosky, the perks of being a wallflower", the perks of being a wallflower
Anyone who has never made a mistake has never tried anything new. ― albert einstein, albert einstein,no book found
"It’s no use going back to yesterday, because i was a different person then. ― lewis carroll", lewis carroll,no book found
"What a slut time is. she screws everybody. ― john green, the fault in our stars"," john green, the fault in our stars", the fault in our stars
"The truth is rarely pure and never simple. ― oscar wilde, the importance of being earnest"," oscar wilde, the importance of being earnest", the importance of being earnest
"I'm the one that's got to die when it's time for me to die, so let me live my life the way i want to. ― jimi hendrix, the jimi hendrix experience - axis: bold as love"," jimi hendrix, the jimi hendrix experience - axis: bold as love", the jimi hendrix experience - axis: bold as love
It takes courage to grow up and become who you really are. ― e.e. cummings, e.e. cummings,no book found
But better to get hurt by the truth than comforted with a lie. ― khaled hosseini, khaled hosseini,no book found
"You have to write the book that wants to be written. and if the book will be too difficult for grown-ups, then you write it for children. ― madeleine l'engle", madeleine l'engle,no book found
"So it's not gonna be easy. it's going to be really hard; we're gonna have to work at this everyday, but i want to do that because i want you. i want all of you, forever, everyday. you and me... everyday. ― nicholas sparks, the notebook"," nicholas sparks, the notebook", the notebook
"I believe in christianity as i believe that the sun has risen: not only because i see it, but because by it i see everything else. ― c.s. lewis", c.s. lewis,no book found
The fear of death follows from the fear of life. a man who lives fully is prepared to die at any time. ― mark twain, mark twain,no book found
"We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another. ― veronica roth, divergent"," veronica roth, divergent", divergent
"... a mind needs books as a sword needs a whetstone, if it is to keep its edge. ― george r.r. martin, a game of thrones"," george r.r. martin, a game of thrones", a game of thrones
"Books are the ultimate dumpees: put them down and they’ll wait for you forever; pay attention to them and they always love you back. ― john green, an abundance of katherines"," john green, an abundance of katherines", an abundance of katherines
"There is nothing better than a friend, unless it is a friend with chocolate. ― linda grayson", linda grayson,no book found
"Memories warm you up from the inside. but they also tear you apart. ― haruki murakami, kafka on the shore"," haruki murakami, kafka on the shore", kafka on the shore
"[dean] my dear fellow, who will let you? [roark] that’s not the point. the point is, who will stop me? ― ayn rand, the fountainhead"," ayn rand, the fountainhead", the fountainhead
"There are infinite numbers between 0 and 1. there's .1 and .12 and .112 and an infinite collection of others. of course, there is a bigger infinite set of numbers between 0 and 2, or between 0 and a million. some infinities are bigger than other infinities. a writer we used to like taught us that. there are days, many of them, when i resent the size of my unbounded set. i want more numbers than i'm likely to get, and god, i want more numbers for augustus waters than he got. but, gus, my love, i cannot tell you how thankful i am for our little infinity. i wouldn't trade it for the world. you gave me a forever within the numbered days, and i'm grateful. ― john green, the fault in our stars"," john green, the fault in our stars", the fault in our stars
"The truth."" dumbledore sighed. ""it is a beautiful and terrible thing, and should therefore be treated with great caution. ― j.k. rowling, harry potter and the sorcerer's stone"," j.k. rowling, harry potter and the sorcerer's stone", harry potter and the sorcerer's stone
A lie can travel half way around the world while the truth is putting on its shoes. ― mark twain, mark twain,no book found
Never tell the truth to people who are not worthy of it. ― mark twain, mark twain,no book found
"Books are the perfect entertainment: no commercials, no batteries, hours of enjoyment for each dollar spent. what i wonder is why everybody doesn't carry a book around for those inevitable dead spots in life. ― stephen king", stephen king,no book found
Isn't it nice to think that tomorrow is a new day with no mistakes in it yet? ― l.m. montgomery, l.m. montgomery,no book found
