,Author,Book
"The fault, dear brutus, is not in our stars, but in ourselves. ― william shakespeare, julius caesar"," william shakespeare, julius caesar", julius caesar
"We have to dare to be ourselves, however frightening or strange that self may prove to be. ― may sarton", may sarton,no book found
"Eleanor was right. she never looked nice. she looked like art, and art wasn't supposed to look nice; it was supposed to make you feel something. ― rainbow rowell, eleanor & park"," rainbow rowell, eleanor & park", eleanor & park
Anyone who lives within their means suffers from a lack of imagination. ― oscar wilde, oscar wilde,no book found
"All the world is made of faith, and trust, and pixie dust. ― j.m. barrie, peter pan"," j.m. barrie, peter pan", peter pan
"We fell in love, despite our differences, and once we did, something rare and beautiful was created. for me, love like that has only happened once, and that's why every minute we spent together has been seared in my memory. i'll never forget a single moment of it. ― nicholas sparks, the notebook"," nicholas sparks, the notebook", the notebook
"To love. to be loved. to never forget your own insignificance. to never get used to the unspeakable violence and the vulgar disparity of life around you. to seek joy in the saddest places. to pursue beauty to its lair. to never simplify what is complicated or complicate what is simple. to respect strength, never power. above all, to watch. to try and understand. to never look away. and never, never to forget. ― arundhati roy, the cost of living"," arundhati roy, the cost of living", the cost of living
"You can't stay in your corner of the forest waiting for others to come to you. you have to go to them sometimes. ― a.a. milne, winnie-the-pooh"," a.a. milne, winnie-the-pooh", winnie-the-pooh
"I do not want people to be very agreeable, as it saves me the trouble of liking them a great deal. ― jane austen, jane austen's letters"," jane austen, jane austen's letters", jane austen's letters
Any fool can know. the point is to understand. ― albert einstein, albert einstein,no book found
"It is the mark of an educated mind to be able to entertain a thought without accepting it. ― aristotle, metaphysics"," aristotle, metaphysics", metaphysics
"Life is a book and there are a thousand pages i have not yet read. ― cassandra clare, clockwork princess"," cassandra clare, clockwork princess", clockwork princess
"Let us read, and let us dance; these two amusements will never do any harm to the world. ― voltaire", voltaire,no book found
"And so the lion fell in love with the lamb…"" he murmured. i looked away, hiding my eyes as i thrilled to the word. ""what a stupid lamb,"" i sighed. ""what a sick, masochistic lion. ― stephenie meyer, twilight"," stephenie meyer, twilight", twilight
"Going to church doesn’t make you a christian any more than going to a garage makes you an automobile. ― billy sunday, ""billy"" sunday, the man and his message: with his own words which have won thousands for christ"," billy sunday, ""billy"" sunday, the man and his message: with his own words which have won thousands for christ"," ""billy"" sunday"
Chance is perhaps the pseudonym of god when he does not want to sign. ― théophile gautier, théophile gautier,no book found
"This is a good sign, having a broken heart. it means we have tried for something. ― elizabeth gilbert, eat, pray, love"," elizabeth gilbert, eat, pray, love", eat
"I don't care!"" harry yelled at them, snatching up a lunascope and throwing it into the fireplace. ""i've had enough, i've seen enough, i want out, i want it to end, i don't care anymore!"" ""you do care,"" said dumbledore. he had not flinched or made a single move to stop harry demolishing his office. his expression was calm, almost detached. ""you care so much you feel as though you will bleed to death with the pain of it. ― j.k. rowling, harry potter and the order of the phoenix"," j.k. rowling, harry potter and the order of the phoenix", harry potter and the order of the phoenix
"For those who believe in god, most of the big questions are answered. but for those of us who can't readily accept the god formula, the big answers don't remain stone-written. we adjust to new conditions and discoveries. we are pliable. love need not be a command nor faith a dictum. i am my own god. we are here to unlearn the teachings of the church, state, and our educational system. we are here to drink beer. we are here to kill war. we are here to laugh at the odds and live our lives so well that death will tremble to take us. ― charles bukowski", charles bukowski,no book found
